submission_id,QUD,RT,age,answer,botresponse,causes_id1,causes_id2,comments,education,endTime,expected,experiment_id,gender,group,id,id1,id2,languages,picture1,picture2,prolific_id,question,question_long,response,selected_pic,startDate,startTime,timeSpent,trial_name,trial_number,type
2254,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),39965,40,NA,linda,NA,NA,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,green,67,male,NA,independent_edge_nh,NA,NA,english,NA,NA,C3B7F3C7,,NA,green,NA,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,animation_buttons,1,training
2254,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),24808,40,NA,linda,NA,NA,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,none,67,male,NA,if2_nnl,NA,NA,english,NA,NA,C3B7F3C7,,NA,none,NA,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,animation_buttons,2,training
2254,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),21791,40,NA,linda,NA,NA,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,blue|green|yellow,67,male,NA,if2_hnh,NA,NA,english,NA,NA,C3B7F3C7,,NA,yellow,NA,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,animation_buttons,3,training
2254,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),9103,40,NA,linda,NA,NA,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,none,67,male,NA,if1_nn,NA,NA,english,NA,NA,C3B7F3C7,,NA,none,NA,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,animation_buttons,4,training
2254,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),25092,40,NA,linda,NA,NA,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,blue|yellow,67,male,NA,if2_nnh,NA,NA,english,NA,NA,C3B7F3C7,,NA,blue|yellow,NA,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,animation_buttons,5,training
2254,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),14500,40,NA,linda,NA,NA,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,none,67,male,NA,if1_ln,NA,NA,english,NA,NA,C3B7F3C7,,NA,none,NA,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,animation_buttons,6,training
2254,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),15909,40,NA,linda,NA,NA,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,blue|green,67,male,NA,if1_hn,NA,NA,english,NA,NA,C3B7F3C7,,NA,green,NA,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,animation_buttons,7,training
2254,"EXAMPLE TRIAL<br/><br/>Based on the following dialogue between Ann and Bob, which of the two scenes is more likely to be the one that Bob is describing?<br/><br/>Please select by clicking on the respective picture.<hr>",17213,40,<b>Bob</b>: The YELLOW block will fall.,linda,,,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,picture1,67,male,example,example-test-trials,example_test_trials1,example_test_trials2,english,stimuli/img/example_test_trials1.png,stimuli/img/example_test_trials2.png,C3B7F3C7,neutral,<b>Ann</b>: Which blocks do you think will fall?,,picture1,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,image_selection,1,test-example
2254,"Based on the following dialogue between Ann and Bob, which of the two scenes is more likely to be the one that Bob is describing?<br/><br/>Please select by clicking on the respective picture.<hr>",21784,40,<b>Bob</b>: NEITHER the ANT NOR the CONS block will fall.,linda,,,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,picture1,67,male,group1,trial7,if1_nn,if2_nnh,english,stimuli/img/group1/if1_nn.png,stimuli/img/group1/if2_nnh.png,C3B7F3C7,neutral,<b>Ann</b>: Which blocks do you think will fall?,,picture1,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,image_selection,1,control-physics
2254,"Based on the following dialogue between Ann and Bob, which of the two scenes is more likely to be the one that Bob is describing?<br/><br/>Please select by clicking on the respective picture.<hr>",17864,40,"<b>Bob</b>: If the ANT block falls, the CONS block will fall.",linda,exhaustive,non-exhaustive,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,none,67,male,group2,trial15,if2_unn,if2_unu,english,stimuli/img/group2/if2_unn.png,stimuli/img/group2/if2_unu.png,C3B7F3C7,neutral,<b>Ann</b>: Which blocks do you think will fall?,non-exhaustive,picture2,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,image_selection,2,critical
2254,"Based on the following dialogue between Ann and Bob, which of the two scenes is more likely to be the one that Bob is describing?<br/><br/>Please select by clicking on the respective picture.<hr>",16880,40,<b>Bob</b>: NEITHER the YELLOW NOR the CONS block will fall.,linda,,,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,picture1,67,male,group1,trial9,if2_nnn,if2_nnh,english,stimuli/img/group1/if2_nnn.png,stimuli/img/group1/if2_nnh.png,C3B7F3C7,if_ant_yellow,<b>Ann</b>: What happens if the YELLOW block falls?,,picture1,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,image_selection,3,control-physics
2254,"Based on the following dialogue between Ann and Bob, which of the two scenes is more likely to be the one that Bob is describing?<br/><br/>Please select by clicking on the respective picture.<hr>",16848,40,"<b>Bob</b>: If the ANT block falls, the CONS block will fall.",linda,exhaustive,non-exhaustive,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,none,67,male,group2,trial1,if1_un,if2_unu,english,stimuli/img/group2/if1_un.png,stimuli/img/group2/if2_unu.png,C3B7F3C7,if_ant,<b>Ann</b>: What happens if the ANT block falls?,exhaustive,picture1,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,image_selection,4,critical
2254,"Based on the following dialogue between Ann and Bob, which of the two scenes is more likely to be the one that Bob is describing?<br/><br/>Please select by clicking on the respective picture.<hr>",10527,40,<b>Bob</b>: The CONS and the ANT block will fall.,linda,,,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,picture2,67,male,group2,trial8,if1_nn,if1_hn,english,stimuli/img/group2/if1_nn.png,stimuli/img/group2/if1_hn.png,C3B7F3C7,cons,<b>Ann</b>: Will the CONS block fall?,,picture2,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,image_selection,5,control-physics
2254,"Based on the following dialogue between Ann and Bob, which of the two scenes is more likely to be the one that Bob is describing?<br/><br/>Please select by clicking on the respective picture.<hr>",25832,40,"<b>Bob</b>: If the ANT block falls, the CONS block will fall.",linda,exhaustive,non-exhaustive,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,picture1,67,male,group2,trial17,if1_un,if1_uu,english,stimuli/img/group2/if1_un.png,stimuli/img/group2/if1_uu.png,C3B7F3C7,cons,<b>Ann</b>: Will the CONS block fall?,exhaustive,picture1,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,image_selection,6,critical
2254,"Based on the following dialogue between Ann and Bob, which of the two scenes is more likely to be the one that Bob is describing?<br/><br/>Please select by clicking on the respective picture.<hr>",213106,40,<b>Bob</b>: NEITHER the ANT NOR the CONS block will fall.,linda,,,"ifound this research tested how I think. it was slightly challenging my concentration, but i found it okay.  I would definitely like to do it again.",Graduated High School,1632386255931,picture2,67,male,group1,trial12,if1_hn,if1_nn,english,stimuli/img/group1/if1_hn.png,stimuli/img/group1/if1_nn.png,C3B7F3C7,cons,<b>Ann</b>: Will the CONS block fall?,,picture2,Thu Sep 23 2021 09:13:14 GMT+0100 (British Summer Time),1632384794013,24.3653,image_selection,7,control-random
